POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE
B18,2012-01-17,2012-01-23,-72.019,-39.943,1982,-0.92
B17,2012-11-11,2012-12-08,-72.014,-39.936,2032,0.17
B17,2012-10-27,2012-11-11,-72.014,-39.936,2032,0.03
B17,2012-09-22,2012-10-27,-72.014,-39.936,2032,0.24
B17,2012-08-24,2012-09-22,-72.014,-39.936,2032,0.25
B17,2012-07-26,2012-08-24,-72.014,-39.936,2032,0.48
B17,2012-06-25,2012-07-26,-72.014,-39.936,2032,0.4
B17,2012-05-23,2012-06-25,-72.014,-39.936,2032,0.87
B17,2012-04-21,2012-05-23,-72.014,-39.936,2032,0.29
B17,2012-04-02,2012-04-21,-72.014,-39.936,2032,-0.27
B17,2012-03-07,2012-04-02,-72.014,-39.936,2032,-1.19
B17,2012-02-10,2012-03-07,-72.014,-39.936,2032,-0.49
B17,2012-01-17,2012-01-23,-72.014,-39.936,2032,-0.49
B15,2012-11-11,2012-12-08,-72.009,-39.942,1918,-0.37
B15,2012-10-27,2012-11-11,-72.009,-39.942,1918,-0.21
B15,2012-09-22,2012-10-27,-72.009,-39.942,1918,-0.11
B15,2012-08-24,2012-09-22,-72.009,-39.942,1918,0.13
B15,2012-07-26,2012-08-24,-72.009,-39.942,1918,0.36
B15,2012-06-25,2012-07-26,-72.009,-39.942,1918,0.46
B15,2012-05-23,2012-06-25,-72.009,-39.942,1918,0.39
B15,2012-04-21,2012-05-23,-72.009,-39.942,1918,0.22
B15,2012-04-02,2012-04-21,-72.009,-39.942,1918,-0.31
B15,2012-03-07,2012-04-02,-72.009,-39.942,1918,-0.86
B15,2012-01-17,2012-01-23,-72.009,-39.942,1918,-1.86
B14,2012-11-11,2012-12-08,-72.015,-39.947,1919,0.02
B14,2012-10-27,2012-11-11,-72.015,-39.947,1919,0.01
B14,2012-09-22,2012-10-27,-72.015,-39.947,1919,0.31
B14,2012-08-24,2012-09-22,-72.015,-39.947,1919,0.26
B14,2012-07-26,2012-08-24,-72.015,-39.947,1919,0.52
B14,2012-05-23,2012-06-25,-72.015,-39.947,1919,0.9
B14,2012-04-21,2012-05-23,-72.015,-39.947,1919,0.06
B14,2012-04-02,2012-04-21,-72.015,-39.947,1919,-0.27
B14,2012-03-07,2012-04-02,-72.015,-39.947,1919,-1.41
B14,2012-01-17,2012-01-23,-72.015,-39.947,1919,-1.6
B13,2012-11-11,2012-12-08,-72.019,-39.951,1917,-0.27
B13,2012-10-27,2012-11-11,-72.019,-39.951,1917,-0.07
B13,2012-09-22,2012-10-27,-72.019,-39.951,1917,0.32
B13,2012-08-24,2012-09-22,-72.019,-39.951,1917,0.35
B13,2012-07-26,2012-08-24,-72.019,-39.951,1917,0.43
B13,2012-05-23,2012-06-25,-72.019,-39.951,1917,0.52
B13,2012-04-21,2012-05-23,-72.019,-39.951,1917,0.05
B13,2012-02-10,2012-03-07,-72.019,-39.951,1917,-1.67
B13,2012-01-17,2012-01-23,-72.019,-39.951,1917,-1.77
B12,2012-10-27,2012-11-11,-72.011,-39.952,1817,-0.21
B12,2012-09-22,2012-10-27,-72.011,-39.952,1817,0.15
B12,2012-08-24,2012-09-22,-72.011,-39.952,1817,0.25
B12,2012-07-26,2012-08-24,-72.011,-39.952,1817,0.22
B11,2012-11-11,2012-12-08,-72.001,-39.945,1811,-0.51
B11,2012-10-27,2012-11-11,-72.001,-39.945,1811,-0.22
B11,2012-09-22,2012-10-27,-72.001,-39.945,1811,-0.03
B11,2012-08-24,2012-09-22,-72.001,-39.945,1811,0.31
B11,2012-07-26,2012-08-24,-72.001,-39.945,1811,0.38
B11,2012-06-25,2012-07-26,-72.001,-39.945,1811,0.44
B11,2012-05-23,2012-06-25,-72.001,-39.945,1811,0.44
B11,2012-04-21,2012-05-23,-72.001,-39.945,1811,0.03
B11,2012-04-02,2012-04-21,-72.001,-39.945,1811,-0.66
B11,2012-03-07,2012-04-02,-72.001,-39.945,1811,-1.27
B10,2012-11-11,2012-12-08,-72.008,-39.949,1881,-0.1
B10,2012-09-22,2012-10-27,-72.008,-39.949,1881,-0.14
B10,2012-08-24,2012-09-22,-72.008,-39.949,1881,0.1
B10,2012-07-26,2012-08-24,-72.008,-39.949,1881,0.37
B10,2012-06-25,2012-07-26,-72.008,-39.949,1881,0.5
B10,2012-03-07,2012-04-02,-72.008,-39.949,1881,-1.13
B1,2012-11-11,2012-12-08,-72.027,-39.932,2392,0.13
B1,2012-10-27,2012-11-11,-72.027,-39.932,2392,0.03
B1,2012-09-22,2012-10-27,-72.027,-39.932,2392,0.03
B1,2012-08-24,2012-09-22,-72.027,-39.932,2392,0.22
B1,2012-07-26,2012-08-24,-72.027,-39.932,2392,0.21
B1,2012-04-02,2012-04-21,-72.027,-39.932,2392,0.08
